City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Tura,IN,79.2,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
491,Cocal,BR,71.01,overcast clouds,-28.6167,-49.35,Motel Tropical
493,Dekar,BW,74.19,clear sky,-21.5333,21.9333,
496,Santa Maria Del Oro,MX,72.43,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
497,Meru,KE,63.59,broken clouds,0.0463,37.6559,Meru Paramount Hotel
499,Shenjiamen,CN,60.01,broken clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
500,Monte Alegre,BR,84.61,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
502,Mweka,CD,76.41,light rain,-4.85,21.5667,
504,Tartus,SY,71.6,broken clouds,34.889,35.8866,خيمة نبراس للاجئين
507,Paracuru,BR,82.99,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
509,Bafq,IR,79.61,broken clouds,31.6128,55.4107,Alamdar Hotel
512,Jutai,BR,77.92,broken clouds,-5.1833,-68.9,
520,Dwarka,IN,83.17,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
522,Hwange,ZW,73.99,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
524,Barrhead,GB,61.0,few clouds,55.7992,-4.3929,The Gleniffer
526,Geraldton,AU,62.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
530,Poum,NC,77.31,overcast clouds,-20.2333,164.0167,Gîte kajeon
531,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Hotel Plaza Providencia
534,Sangolqui,EC,69.8,light rain,-0.3341,-78.4522,Mansion Samzara Hosteleria
535,Rengasdengklok,ID,84.0,few clouds,-6.1592,107.2981,Reza raditya
536,Thinadhoo,MV,83.01,broken clouds,0.5333,72.9333,
538,Port Hedland,AU,68.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
544,Talcahuano,CL,62.6,clear sky,-36.7167,-73.1167,Hotel Terramar
545,Darnah,LY,61.29,few clouds,32.766999999999996,22.6367,فندق الفردوس
546,Bogomila,MK,69.8,clear sky,41.5931,21.4717,Motel Zidan Most
547,Erzin,TR,71.01,overcast clouds,36.9559,36.2,Artemis Otel
549,Torrevieja,ES,64.99,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
551,Banda Aceh,ID,81.18,overcast clouds,5.5577,95.3222,Sulthan Hotel International
553,Cuamba,MZ,71.44,broken clouds,-14.8031,36.5372,Hotel Vision
555,Djambala,CG,77.45,moderate rain,-2.5447,14.7533,Hotel Ravin D'or
561,Tocopilla,CL,70.14,clear sky,-22.092,-70.1979,Hotel Galvarino
562,Ibiapina,BR,79.65,broken clouds,-3.9233,-40.8894,Hotel Pinheiro
563,Bien Hoa,VN,82.4,scattered clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
564,Asfi,MA,64.99,clear sky,32.2994,-9.2372,Hôtel Abda
565,Samarai,PG,82.94,overcast clouds,-10.6167,150.6667,Nuli Sapi
566,Mimongo,GA,76.57,moderate rain,-1.6195,11.6068,
567,Constantine,DZ,80.6,clear sky,36.365,6.6147,Grand Hotel Cirta
568,Pio Ix,BR,82.27,overcast clouds,-6.8375,-40.5792,Hotel Central
571,Talara,PE,77.0,clear sky,-4.5772,-81.2719,Hostal Oro Negro
573,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
574,Comodoro Rivadavia,AR,64.4,clear sky,-45.8667,-67.5,Austral Hotel
576,Hamadan,IR,67.62,broken clouds,34.7992,48.5146,Parsian BuAli Hotel
578,Zambezi,ZM,74.28,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
579,Coolum Beach,AU,64.0,clear sky,-26.5333,153.1,Palmer Coolum Resort
580,Gambela,ET,80.78,light rain,8.25,34.5833,Solomon Debebe Hotel
581,Praia,CV,78.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
582,San Rafael,AR,64.83,clear sky,-34.6177,-68.3301,Hotel San Rafael
583,Paita,PE,77.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
587,Reconquista,AR,69.24,clear sky,-29.15,-59.65,Grand Hotel
588,La Reforma,MX,82.0,overcast clouds,25.0833,-108.05,Arremar Angostura
589,San Quintin,MX,60.6,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
