City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Jamestown,US,2021-04-25 16:10:33,42.097,-79.2353,51.01,93,90,13.8,mist
156,Troitsko-Pechorsk,RU,2021-04-25 16:15:20,62.7084,56.1964,43.52,73,100,11.99,overcast clouds
157,Lamu,KE,2021-04-25 16:14:20,-2.2717,40.902,81.79,78,82,9.86,broken clouds
158,Naze,JP,2021-04-25 16:10:17,28.3667,129.4833,64.87,67,100,10.6,overcast clouds
159,Saqqez,IR,2021-04-25 16:15:21,36.2499,46.2735,65.66,27,36,7.47,scattered clouds
160,Kaitangata,NZ,2021-04-25 16:12:31,-46.2817,169.8464,39.0,73,42,1.99,scattered clouds
161,Havre-Saint-Pierre,CA,2021-04-25 16:12:15,50.2334,-63.5986,46.4,57,1,13.8,clear sky
162,Arlit,NE,2021-04-25 16:13:55,18.7369,7.3853,106.25,7,88,12.19,overcast clouds
163,Sangmelima,CM,2021-04-25 16:15:22,2.9333,11.9833,79.95,63,100,1.57,overcast clouds
164,Lebu,CL,2021-04-25 16:13:15,-37.6167,-73.65,60.13,72,0,12.62,clear sky
165,Aginskoye,RU,2021-04-25 16:15:22,51.1,114.53,48.7,20,100,7.9,overcast clouds
166,Tiksi,RU,2021-04-25 16:11:52,71.6872,128.8694,21.18,97,98,4.85,overcast clouds
167,Cape Town,ZA,2021-04-25 16:12:06,-33.9258,18.4232,69.01,82,0,16.11,clear sky
168,Iskateley,RU,2021-04-25 16:15:23,67.6803,53.1512,39.94,92,100,9.19,overcast clouds
169,Vila,PT,2021-04-25 16:15:23,42.0304,-8.1588,61.0,81,99,1.3,light rain
170,Constitucion,CL,2021-04-25 16:10:08,-35.3333,-72.4167,64.6,55,0,11.01,clear sky
171,Saldanha,ZA,2021-04-25 16:13:37,-33.0117,17.9442,64.4,82,100,9.22,overcast clouds
172,Tasiilaq,GL,2021-04-25 16:11:59,65.6145,-37.6368,41.0,75,75,23.02,broken clouds
173,Ilulissat,GL,2021-04-25 16:13:31,69.2167,-51.1,50.0,43,20,18.41,few clouds
174,Ballina,AU,2021-04-25 16:10:33,-28.8667,153.5667,57.0,94,40,7.25,scattered clouds
175,Oga,IT,2021-04-25 16:15:24,46.4631,10.347,66.99,34,20,4.61,few clouds
